HE 1  3613.64A
H  1  3697.15A
H  1  3703.85A
H  1  3711.97A
S  3  3721.63A
H  1  3721.93A
O  2  3726.03A
O  2  3728.81A
H  1  3734.36A
H  1  3750.15A
H  1  3770.63A
H  1  3797.89A
H  1  3835.38A
NE 3  3868.76A
H  1  3889.05A
CA 2  3933.66A
HE 1  3964.73A
NE 3  3967.47A
H  1  3970.07A
HE 1  4026.20A
S  2  4068.60A
S  2  4076.35A
H  1  4101.73A
HE 1  4120.82A
FE 2  4243.97A
H  1  4340.46A
O  3  4363.21A
HE 1  4387.93A
FE 2  4416.27A
HE 1  4471.49A
FE 3  4607.11A
FE 3  4658.01A
FE 3  4666.94A
HE 2  4685.64A
FE 3  4701.62A
AR 4  4711.26A
HE 1  4713.03A
FE 3  4733.84A
AR 4  4740.12A
FE 3  4754.64A
FE 3  4769.52A
FE 3  4777.61A
FE 2  4814.53A
H  1  4861.33A
FE 3  4881.12A
FE 2  4889.62A
HE 1  4921.93A
FE 3  4924.66A
O  3  4958.91A
FE 3  4987.33A
O  3  5006.84A
FE 3  5011.16A
HE 1  5015.68A
HE 1  5047.64A
FE 3  5084.66A
FE 2  5158.78A
N  1  5197.90A
N  1  5200.26A
FE 2  5261.62A
FE 3  5270.40A
FE 2  5273.35A
FE 3  5411.98A
CL 3  5517.71A
CL 3  5537.87A
N  2  5754.61A
HE 1  5875.64A
O  1  6300.30A
S  3  6312.06A
O  1  6363.78A
N  2  6548.05A
H  1  6562.81A
N  2  6583.45A
HE 1  6678.15A
S  2  6716.44A
S  2  6730.82A
AR 3  7135.79A
HE 1  7281.35A
O  2  7318.92A
O  2  7319.99A
O  2  7329.67A
O  2  7330.73A
FE 2  7637.54A
FE 2  7686.94A
AR 3  7751.11A
CL 4  8045.62A
H  1  8437.91A
H  1  8467.21A
H  1  8502.44A
CA 2  8542.09A
H  1  8545.34A
CL 2  8578.70A
H  1  8598.35A
FE 2  8616.95A
CA 2  8662.14A
H  1  8664.98A
H  1  8750.43A
H  1  8862.74A
FE 2  8891.91A
H  1  9014.87A
FE 2  9051.95A
S  3  9068.62A
FE 2  9226.62A
H  1  9228.97A
HE 1  9463.57A
S  3  9530.62A
H  1  9545.93A
H  1  1.00493M
