type,ring_id,fiber_id,slit,id,y_blue,y_red,y_ir
sky1,1,0,slit1,0,146.9,141.22,131.41
std,19,64,slit1,1,152.86,147.2,137.4
science,25,72,slit1,2,158.82,153.18,143.39
science,25,74,slit1,3,164.78,159.17,149.39
science,25,76,slit1,4,170.73,165.15,155.38
science,25,78,slit1,5,176.69,171.13,161.37
science,25,80,slit1,6,182.65,177.12,167.36
science,25,82,slit1,7,188.61,183.1,173.35
science,25,84,slit1,8,194.57,189.09,179.35
science,25,86,slit1,9,200.52,195.07,185.34
science,25,88,slit1,10,206.48,201.05,191.33
science,25,90,slit1,11,212.44,207.04,197.32
science,25,92,slit1,12,218.4,213.02,203.31
science,25,94,slit1,13,224.36,219.0,209.31
science,25,96,slit1,14,230.31,224.99,215.3
science,25,98,slit1,15,236.27,230.97,221.29
science,25,100,slit1,16,242.23,236.95,227.28
science,25,102,slit1,17,248.19,242.94,233.27
science,25,104,slit1,18,254.15,248.92,239.27
science,25,106,slit1,19,260.1,254.9,245.26
science,25,108,slit1,20,266.06,260.89,251.25
science,25,110,slit1,21,272.02,266.87,257.24
science,25,112,slit1,22,277.98,272.85,263.24
science,25,114,slit1,23,283.94,278.84,269.23
science,25,116,slit1,24,289.89,284.82,275.22
science,25,118,slit1,25,295.85,290.8,281.21
science,24,113,slit1,26,301.81,296.79,287.2
science,24,111,slit1,27,307.77,302.77,293.2
science,24,109,slit1,28,313.73,308.76,299.19
science,24,107,slit1,29,319.68,314.74,305.18
science,24,105,slit1,30,325.64,320.72,311.17
science,24,103,slit1,31,331.6,326.71,317.16
science,24,101,slit1,32,337.56,332.69,323.16
science,24,99,slit1,33,343.52,338.67,329.15
science,24,97,slit1,34,349.48,344.66,335.14
sky2,1,0,slit1,35,355.43,350.64,341.13
sky1,2,3,slit1,36,361.39,356.62,347.12
sky1,3,6,slit1,37,367.35,362.61,353.12
science,24,95,slit1,38,373.31,368.59,359.11
science,24,93,slit1,39,379.27,374.57,365.1
science,24,91,slit1,40,385.22,380.56,371.09
science,24,89,slit1,41,391.18,386.54,377.08
science,24,87,slit1,42,397.14,392.52,383.08
science,24,85,slit1,43,403.1,398.51,389.07
science,24,83,slit1,44,409.06,404.49,395.06
science,24,81,slit1,45,415.01,410.47,401.05
science,24,79,slit1,46,420.97,416.46,407.04
science,24,77,slit1,47,426.93,422.44,413.04
science,24,75,slit1,48,432.89,428.43,419.03
science,24,73,slit1,49,438.85,434.41,425.02
science,24,71,slit1,50,444.8,440.39,431.01
science,24,69,slit1,51,450.76,446.38,437.01
science,23,66,slit1,52,456.72,452.36,443.0
science,23,68,slit1,53,462.68,458.34,448.99
science,23,70,slit1,54,468.64,464.33,454.98
science,23,72,slit1,55,474.59,470.31,460.97
science,23,74,slit1,56,480.55,476.29,466.97
science,23,76,slit1,57,486.51,482.28,472.96
science,23,78,slit1,58,492.47,488.26,478.95
science,23,80,slit1,59,498.43,494.24,484.94
science,23,82,slit1,60,504.38,500.23,490.93
science,23,84,slit1,61,510.34,506.21,496.93
science,23,86,slit1,62,516.3,512.19,502.92
science,23,88,slit1,63,522.26,518.18,508.91
science,23,90,slit1,64,528.22,524.16,514.9
science,23,92,slit1,65,534.17,530.14,520.89
science,23,94,slit1,66,540.13,536.13,526.89
science,23,96,slit1,67,546.09,542.11,532.88
science,23,98,slit1,68,552.05,548.09,538.87
science,23,100,slit1,69,558.01,554.08,544.86
science,23,102,slit1,70,563.96,560.06,550.85
sky2,2,3,slit1,71,569.92,566.05,556.85
sky1,4,9,slit1,72,575.88,572.03,562.84
science,23,104,slit1,73,581.84,578.01,568.83
science,23,106,slit1,74,587.8,584.0,574.82
science,23,108,slit1,75,593.75,589.98,580.81
science,22,103,slit1,76,599.71,595.96,586.81
science,22,101,slit1,77,605.67,601.95,592.8
science,22,99,slit1,78,611.63,607.93,598.79
science,22,97,slit1,79,617.59,613.91,604.78
science,22,95,slit1,80,623.54,619.9,610.78
science,22,93,slit1,81,629.5,625.88,616.77
science,22,91,slit1,82,635.46,631.86,622.76
science,22,89,slit1,83,641.42,637.85,628.75
science,22,87,slit1,84,647.38,643.83,634.74
science,22,85,slit1,85,653.34,649.81,640.74
science,22,83,slit1,86,659.29,655.8,646.73
science,22,81,slit1,87,665.25,661.78,652.72
science,22,79,slit1,88,671.21,667.76,658.71
science,22,77,slit1,89,677.17,673.75,664.7
science,22,75,slit1,90,683.13,679.73,670.7
science,22,73,slit1,91,689.08,685.72,676.69
science,22,71,slit1,92,695.04,691.7,682.68
science,22,69,slit1,93,701.0,697.68,688.67
science,22,67,slit1,94,706.96,703.67,694.66
science,22,65,slit1,95,712.92,709.65,700.66
science,22,63,slit1,96,718.87,715.63,706.65
science,21,60,slit1,97,724.83,721.62,712.64
science,21,62,slit1,98,730.79,727.6,718.63
science,21,64,slit1,99,736.75,733.58,724.62
science,21,66,slit1,100,742.71,739.57,730.62
science,21,68,slit1,101,748.66,745.55,736.61
science,21,70,slit1,102,754.62,751.53,742.6
science,21,72,slit1,103,760.58,757.52,748.59
science,21,74,slit1,104,766.54,763.5,754.58
science,21,76,slit1,105,772.5,769.48,760.58
sky2,4,9,slit1,106,778.45,775.47,766.57
sky2,3,6,slit1,107,784.41,781.45,772.56
sky1,5,12,slit1,108,790.37,787.43,778.55
std,24,103,slit1,109,796.33,793.42,784.54
science,21,78,slit1,110,802.29,799.4,790.54
science,21,80,slit1,111,808.24,805.39,796.53
science,21,82,slit1,112,814.2,811.37,802.52
science,21,84,slit1,113,820.16,817.35,808.51
science,21,86,slit1,114,826.12,823.34,814.51
science,21,88,slit1,115,832.08,829.32,820.5
science,21,90,slit1,116,838.03,835.3,826.49
science,21,92,slit1,117,843.99,841.29,832.48
science,21,94,slit1,118,849.95,847.27,838.47
science,21,96,slit1,119,855.91,853.25,844.47
science,21,98,slit1,120,861.87,859.24,850.46
science,20,93,slit1,121,867.82,865.22,856.45
science,20,91,slit1,122,873.78,871.2,862.44
science,20,89,slit1,123,879.74,877.19,868.43
science,20,87,slit1,124,885.7,883.17,874.43
science,20,85,slit1,125,891.66,889.15,880.42
science,20,83,slit1,126,897.61,895.14,886.41
science,20,81,slit1,127,903.57,901.12,892.4
science,20,79,slit1,128,909.53,907.1,898.39
science,20,77,slit1,129,915.49,913.09,904.39
science,20,75,slit1,130,921.45,919.07,910.38
science,20,73,slit1,131,927.4,925.06,916.37
science,20,71,slit1,132,933.36,931.04,922.36
science,20,69,slit1,133,939.32,937.02,928.35
science,20,67,slit1,134,945.28,943.01,934.35
science,20,65,slit1,135,951.24,948.99,940.34
science,20,63,slit1,136,957.19,954.97,946.33
science,20,61,slit1,137,963.15,960.96,952.32
science,20,59,slit1,138,969.11,966.94,958.31
science,20,57,slit1,139,975.07,972.92,964.31
science,19,54,slit1,140,981.03,978.91,970.3
science,19,56,slit1,141,986.99,984.89,976.29
science,19,58,slit1,142,992.94,990.87,982.28
sky2,5,12,slit1,143,998.9,996.86,988.28
sky1,5,14,slit1,144,1004.86,1002.84,994.27
science,19,60,slit1,145,1010.82,1008.82,1000.26
science,19,62,slit1,146,1016.78,1014.81,1006.25
science,19,64,slit1,147,1022.73,1020.79,1012.24
science,19,66,slit1,148,1028.69,1026.77,1018.24
science,19,68,slit1,149,1034.65,1032.76,1024.23
science,19,70,slit1,150,1040.61,1038.74,1030.22
science,19,72,slit1,151,1046.57,1044.72,1036.21
science,19,74,slit1,152,1052.52,1050.71,1042.2
science,19,76,slit1,153,1058.48,1056.69,1048.2
science,19,78,slit1,154,1064.44,1062.68,1054.19
science,19,80,slit1,155,1070.4,1068.66,1060.18
science,19,82,slit1,156,1076.36,1074.64,1066.17
science,19,84,slit1,157,1082.31,1080.63,1072.16
science,19,86,slit1,158,1088.27,1086.61,1078.16
science,19,88,slit1,159,1094.23,1092.59,1084.15
science,18,83,slit1,160,1100.19,1098.58,1090.14
science,18,81,slit1,161,1106.15,1104.56,1096.13
science,18,79,slit1,162,1112.1,1110.54,1102.12
science,18,77,slit1,163,1117.97,1116.43,1108.03
science,18,75,slit1,164,1123.84,1122.32,1113.93
science,18,73,slit1,165,1129.71,1128.22,1119.83
science,18,71,slit1,166,1135.58,1134.11,1125.73
science,18,69,slit1,167,1141.45,1140.0,1131.63
science,18,67,slit1,168,1147.32,1145.89,1137.54
science,18,65,slit1,169,1153.19,1151.78,1143.44
science,18,63,slit1,170,1159.05,1157.67,1149.34
science,18,61,slit1,171,1164.92,1163.56,1155.24
science,18,59,slit1,172,1170.79,1169.45,1161.14
science,18,57,slit1,173,1176.66,1175.34,1167.05
science,18,55,slit1,174,1182.53,1181.23,1172.95
science,18,53,slit1,175,1188.4,1187.12,1178.85
science,18,51,slit1,176,1194.27,1193.01,1184.75
science,17,48,slit1,177,1200.14,1198.9,1190.65
science,17,50,slit1,178,1206.0,1204.79,1196.56
sky2,5,14,slit1,179,1211.87,1210.68,1202.46
sky1,4,11,slit1,180,1217.74,1216.58,1208.36
science,17,52,slit1,181,1223.61,1222.47,1214.26
science,17,54,slit1,182,1229.48,1228.36,1220.16
science,17,56,slit1,183,1235.35,1234.25,1226.07
science,17,58,slit1,184,1241.22,1240.14,1231.97
