name,x,y,d,disp
1-slit1,0,0,35.3,3
2-slit1,0,37,35.3,3
3-slit1,0,74,35.3,3
4-slit1,0,111,35.3,3
5-slit1,0,148,35.3,3
6-slit1,0,185,35.3,3
7-slit1,0,222,35.3,3
8-slit1,0,259,35.3,3
9-slit1,0,296,35.3,3
10-slit1,0,333,35.3,3
11-slit1,0,370,35.3,3
12-slit1,0,407,35.3,3
13-slit1,37,0,35.3,3
14-slit1,74,0,35.3,3
15-slit1,111,0,35.3,3
16-slit1,148,0,35.3,3
17-slit1,185,0,35.3,3
18-slit1,222,0,35.3,3
19-slit1,259,0,35.3,3
20-slit1,296,0,35.3,3
21-slit1,333,0,35.3,3
22-slit1,370,0,35.3,3
23-slit1,407,0,35.3,3
24-slit1,444,0,35.3,3
