wave flux
3509.58 0.0
3509.63 0.0
3509.68 0.0
3509.73 0.0
3509.78 16.085189964379907
3509.83 0.0
3509.88 0.0
3509.93 0.0
3509.98 0.0
3510.03 0.0
3510.08 0.0
3510.13 0.0
3510.18 0.0
3510.23 0.0
3510.28 0.0
3510.33 0.0
3510.38 0.0
3510.43 0.0
3510.48 0.0
3510.53 0.0
3510.58 0.0
3510.63 0.0
3510.68 0.0
3510.73 0.0
3510.78 0.0
3510.83 0.0
3510.88 0.0
3510.93 0.0
3510.98 0.0
3511.03 0.0
3511.08 0.0
3511.13 0.0
3511.18 0.0
3511.23 0.0
3511.28 0.0
3511.33 0.0
3511.38 0.0
3511.43 0.0
3511.48 0.0
3511.53 0.0
3511.58 0.0
3511.63 0.0
3511.68 0.0
3511.73 0.0
3511.78 0.0
3511.83 0.0
3511.88 0.0
3511.93 0.0
3511.98 0.0
3512.03 0.0
3512.08 0.0
3512.13 0.0
3512.18 0.0
3512.23 0.0
3512.28 0.0
3512.33 0.0
3512.38 0.0
3512.43 0.0
3512.48 0.0
3512.53 0.0
3512.58 0.0
3512.63 0.0
3512.68 0.0
3512.73 0.0
3512.78 0.0
3512.83 0.0
3512.88 0.0
3512.93 0.0
3512.98 0.0
3513.03 0.0
3513.08 0.0
3513.13 0.0
3513.18 0.0
3513.23 0.0
3513.28 0.0
3513.33 0.0
3513.38 0.0
3513.43 0.0
3513.48 0.0
3513.53 0.0
3513.58 0.0
3513.63 0.0
3513.68 0.0
3513.73 0.0
3513.78 0.0
3513.83 0.0
3513.88 0.0
3513.93 0.0
3513.98 0.0
3514.03 0.0
3514.08 0.0
3514.13 0.0
3514.18 0.0
3514.23 0.0
3514.28 0.0
3514.33 0.0
3514.38 16.085189964379907
3514.43 0.0
3514.48 0.0
3514.53 0.0
3514.58 0.0
3514.63 0.0
3514.68 0.0
3514.73 0.0
3514.78 0.0
3514.83 0.0
3514.88 0.0
3514.93 0.0
3514.98 0.0
3515.03 0.0
3515.08 0.0
3515.13 0.0
3515.18 0.0
3515.23 0.0
3515.28 0.0
3515.33 0.0
3515.38 0.0
3515.43 0.0
3515.48 0.0
3515.53 0.0
3515.58 0.0
3515.63 0.0
3515.68 0.0
3515.73 0.0
3515.78 0.0
3515.83 0.0
3515.88 0.0
3515.93 0.0
3515.98 0.0
3516.03 0.0
3516.08 0.0
3516.13 0.0
3516.18 0.0
3516.23 0.0
3516.28 0.0
3516.33 0.0
3516.38 0.0
3516.43 0.0
3516.48 0.0
3516.53 0.0
3516.58 0.0
3516.63 0.0
3516.68 0.0
3516.73 0.0
3516.78 0.0
3516.83 0.0
3516.88 0.0
3516.93 0.0
3516.98 0.0
3517.03 0.0
3517.08 0.0
3517.13 0.0
3517.18 0.0
3517.23 0.0
3517.28 0.0
3517.33 0.0
3517.38 0.0
3517.43 0.0
3517.48 0.0
3517.53 0.0
3517.58 0.0
3517.63 0.0
3517.68 0.0
3517.73 0.0
3517.78 0.0
3517.83 0.0
3517.88 0.0
3517.93 0.0
3517.98 0.0
3518.03 0.0
3518.08 0.0
3518.13 0.0
3518.18 0.0
3518.23 0.0
3518.28 0.0
3518.33 0.0
3518.38 0.0
3518.43 0.0
3518.48 0.0
3518.53 0.0
3518.58 0.0
3518.63 0.0
3518.68 0.0
3518.73 0.0
3518.78 0.0
3518.83 0.0
3518.88 0.0
3518.93 0.0
3518.98 0.0
3519.03 0.0
3519.08 0.0
3519.13 0.0
3519.18 0.0
3519.23 0.0
3519.28 0.0
3519.33 0.0
3519.38 0.0
3519.43 0.0
3519.48 0.0
3519.53 0.0
3519.58 0.0
3519.63 0.0
3519.68 0.0
3519.73 0.0
3519.78 0.0
3519.83 0.0
3519.88 0.0
3519.93 0.0
