wave flux
3501.02 0.0
3501.07 0.0
3501.12 0.0
3501.17 0.0
3501.22 2.001279094819671
3501.27 0.0
3501.32 0.0
3501.37 0.0
3501.42 0.0
3501.47 0.0
3501.52 0.0
3501.57 0.0
3501.62 0.0
3501.67 0.0
3501.72 0.0
3501.77 0.0
3501.82 0.0
3501.87 0.0
3501.92 0.0
3501.97 0.0
3502.02 0.0
3502.07 0.0
3502.12 0.0
3502.17 0.0
3502.22 0.0
3502.27 0.0
3502.32 0.0
3502.37 0.0
3502.42 0.0
3502.47 0.0
3502.52 0.0
3502.57 0.0
3502.62 0.0
3502.67 0.0
3502.72 0.0
3502.77 0.0
3502.82 0.0
3502.87 0.0
3502.92 0.0
3502.97 0.0
3503.02 0.0
3503.07 0.0
3503.12 0.0
3503.17 0.0
3503.22 0.0
3503.27 0.0
3503.32 0.0
3503.37 0.0
3503.42 0.0
3503.47 0.0
3503.52 0.0
3503.57 0.0
3503.62 0.0
3503.67 0.0
3503.72 0.0
3503.77 0.0
3503.82 0.0
3503.87 0.0
3503.92 0.0
3503.97 0.0
3504.02 0.0
3504.07 0.0
3504.12 0.0
3504.17 0.0
3504.22 0.0
3504.27 0.0
3504.32 0.0
3504.37 0.0
3504.42 0.0
3504.47 0.0
3504.52 0.0
3504.57 0.0
3504.62 0.0
3504.67 0.0
3504.72 0.0
3504.77 0.0
3504.82 0.0
3504.87 0.0
3504.92 0.0
3504.97 0.0
3505.02 0.0
3505.07 0.0
3505.12 0.0
3505.17 0.0
3505.22 0.0
3505.27 0.0
3505.32 0.0
3505.37 0.0
3505.42 0.0
3505.47 0.0
3505.52 0.0
3505.57 0.0
3505.62 0.0
3505.67 0.0
3505.72 0.0
3505.77 0.0
3505.82 0.0
3505.87 0.0
3505.92 0.0
3505.97 0.0
3506.02 0.0
3506.07 0.0
3506.12 0.0
3506.17 0.0
3506.22 0.0
3506.27 0.0
3506.32 0.0
3506.37 0.0
3506.42 0.0
3506.47 0.0
3506.52 0.0
3506.57 0.0
3506.62 0.0
3506.67 0.0
3506.72 0.0
3506.77 0.0
3506.82 0.0
3506.87 0.0
3506.92 0.0
3506.97 0.0
3507.02 0.0
3507.07 0.0
3507.12 0.0
3507.17 0.0
3507.22 0.0
3507.27 0.0
3507.32 0.0
3507.37 0.0
3507.42 0.0
3507.47 0.0
3507.52 0.0
3507.57 0.0
3507.62 0.0
3507.67 0.0
3507.72 0.0
3507.77 0.0
3507.82 0.0
3507.87 0.0
3507.92 0.0
3507.97 0.0
3508.02 0.0
3508.07 0.0
3508.12 0.0
3508.17 0.0
3508.22 0.0
3508.27 0.0
3508.32 0.0
3508.37 0.0
3508.42 0.0
3508.47 0.0
3508.52 0.0
3508.57 0.0
3508.62 0.0
3508.67 0.0
3508.72 0.0
3508.77 0.0
3508.82 0.0
3508.87 0.0
3508.92 0.0
3508.97 0.0
3509.02 0.0
3509.07 0.0
3509.12 0.0
3509.17 0.0
3509.22 0.0
3509.27 0.0
3509.32 0.0
3509.37 0.0
3509.42 0.0
3509.47 0.0
3509.52 0.0
3509.57 0.0
3509.62 0.0
3509.67 0.0
3509.72 0.0
3509.77 0.0
3509.82 0.0
3509.87 0.0
3509.92 0.0
3509.97 0.0
3510.02 0.0
3510.07 0.0
3510.12 0.0
3510.17 0.0
3510.22 0.0
3510.27 0.0
3510.32 0.0
3510.37 0.0
3510.42 0.0
3510.47 0.0
3510.52 0.0
3510.57 0.0
3510.62 0.0
3510.67 0.0
3510.72 0.0
3510.77 0.0
3510.82 0.0
3510.87 0.0
3510.92 0.0
3510.97 0.0
3511.02 0.0
3511.07 0.0
3511.12 0.0
3511.17 0.0
3511.22 0.0
3511.27 0.0
3511.32 0.0
3511.37 0.0
3511.42 0.0
3511.47 0.0
3511.52 0.0
3511.57 0.0
3511.62 0.0
3511.67 0.0
3511.72 0.0
3511.77 0.0
3511.82 0.0
3511.87 0.0
3511.92 0.0
3511.97 0.0
3512.02 0.0
3512.07 0.0
3512.12 0.0
3512.17 0.0
3512.22 0.0
3512.27 0.0
3512.32 0.0
3512.37 0.0
3512.42 0.0
3512.47 0.0
3512.52 0.0
3512.57 0.0
3512.62 0.0
3512.67 0.0
3512.72 0.0
3512.77 0.0
3512.82 0.0
3512.87 0.0
3512.92 0.0
3512.97 0.0
3513.02 0.0
3513.07 0.0
3513.12 0.0
3513.17 0.0
3513.22 0.0
3513.27 0.0
3513.32 0.0
3513.37 0.0
3513.42 0.0
3513.47 0.0
3513.52 0.0
3513.57 0.0
3513.62 0.0
3513.67 0.0
3513.72 0.0
3513.77 0.0
3513.82 0.0
3513.87 0.0
3513.92 0.0
3513.97 0.0
3514.02 0.0
3514.07 0.0
3514.12 0.0
3514.17 0.0
3514.22 0.0
3514.27 0.0
3514.32 0.0
3514.37 0.0
3514.42 0.0
3514.47 0.0
3514.52 0.0
3514.57 0.0
3514.62 0.0
3514.67 0.0
3514.72 0.0
3514.77 0.0
3514.82 0.0
3514.87 0.0
3514.92 0.0
3514.97 0.0
3515.02 0.0
3515.07 0.0
3515.12 0.0
3515.17 2.001279094819671
3515.22 0.0
3515.27 0.0
3515.32 0.0
3515.37 0.0
3515.42 0.0
3515.47 0.0
3515.52 0.0
3515.57 0.0
3515.62 0.0
3515.67 0.0
3515.72 0.0
3515.77 0.0
3515.82 0.0
3515.87 0.0
3515.92 0.0
3515.97 0.0
3516.02 0.0
3516.07 0.0
3516.12 0.0
3516.17 0.0
