wave flux
3506.54 0.0
3506.59 0.0
3506.64 0.0
3506.69 0.0
3506.74 0.3392638506360153
3506.79 0.0
3506.84 0.0
3506.89 0.0
3506.94 0.0
3506.99 0.0
3507.04 0.0
3507.09 0.0
3507.14 0.0
3507.19 0.0
3507.24 0.0
3507.29 0.0
3507.34 0.0
3507.39 0.0
3507.44 0.0
3507.49 0.0
3507.54 0.0
3507.59 0.0
3507.64 0.0
3507.69 0.0
3507.74 0.0
3507.79 0.0
3507.84 0.0
3507.89 0.0
3507.94 0.0
3507.99 0.0
3508.04 0.0
3508.09 0.0
3508.14 0.0
3508.19 0.0
3508.24 0.0
3508.29 0.0
3508.34 0.0
3508.39 0.0
3508.44 0.0
3508.49 0.0
3508.54 0.0
3508.59 0.0
3508.64 0.0
3508.69 0.0
3508.74 0.0
3508.79 0.0
3508.84 0.0
3508.89 0.0
3508.94 0.0
3508.99 0.0
3509.04 0.0
3509.09 0.0
3509.14 0.0
3509.19 0.0
3509.24 0.0
3509.29 0.0
3509.34 0.0
3509.39 0.0
3509.44 0.0
3509.49 0.0
3509.54 0.0
3509.59 0.0
3509.64 0.0
3509.69 0.0
3509.74 0.0
3509.79 0.0
3509.84 0.0
3509.89 0.0
3509.94 0.0
3509.99 0.0
3510.04 0.0
3510.09 0.0
3510.14 0.0
3510.19 0.0
3510.24 0.0
3510.29 0.0
3510.34 0.0
3510.39 0.0
3510.44 0.0
3510.49 0.0
3510.54 0.0
3510.59 0.0
3510.64 0.0
3510.69 0.0
3510.74 0.0
3510.79 0.0
3510.84 0.0
3510.89 0.0
3510.94 0.0
3510.99 0.0
3511.04 0.0
3511.09 0.0
3511.14 0.0
3511.19 0.0
3511.24 0.0
3511.29 0.0
3511.34 0.0
3511.39 0.0
3511.44 0.0
3511.49 0.0
3511.54 0.0
3511.59 0.0
3511.64 0.0
3511.69 0.0
3511.74 0.0
3511.79 0.0
3511.84 0.0
3511.89 0.0
3511.94 0.0
3511.99 0.0
3512.04 0.0
3512.09 0.0
3512.14 0.0
3512.19 0.0
3512.24 0.0
3512.29 0.0
3512.34 0.0
3512.39 0.0
3512.44 0.0
3512.49 0.0
3512.54 0.0
3512.59 0.0
3512.64 0.0
3512.69 0.0
3512.74 0.0
3512.79 0.0
3512.84 0.0
3512.89 0.0
3512.94 0.0
3512.99 0.0
3513.04 0.0
3513.09 0.0
3513.14 0.0
3513.19 0.0
3513.24 0.0
3513.29 0.0
3513.34 0.0
3513.39 0.0
3513.44 0.0
3513.49 0.0
3513.54 0.0
3513.59 0.0
3513.64 0.0
3513.69 0.0
3513.74 0.0
3513.79 0.0
3513.84 0.0
3513.89 0.0
3513.94 0.0
3513.99 0.0
3514.04 0.0
3514.09 0.0
3514.14 0.0
3514.19 0.0
3514.24 0.0
3514.29 0.0
3514.34 0.0
3514.39 0.0
3514.44 0.0
3514.49 0.0
3514.54 0.0
3514.59 0.0
3514.64 0.0
3514.69 0.0
3514.74 0.0
3514.79 0.0
3514.84 0.0
3514.89 0.0
3514.94 0.0
3514.99 0.0
3515.04 0.0
3515.09 0.0
3515.14 0.0
3515.19 0.0
3515.24 0.0
3515.29 0.0
3515.34 0.0
3515.39 0.0
3515.44 0.0
3515.49 0.0
3515.54 0.0
3515.59 0.0
3515.64 0.0
3515.69 0.0
3515.74 0.0
3515.79 0.0
3515.84 0.0
3515.89 0.0
3515.94 0.0
3515.99 0.0
3516.04 0.0
3516.09 0.0
3516.14 0.0
3516.19 0.0
3516.24 0.0
3516.29 0.0
3516.34 0.0
3516.39 0.0
3516.44 0.0
3516.49 0.0
3516.54 0.0
3516.59 0.0
3516.64 0.0
3516.69 0.0
3516.74 0.0
3516.79 0.0
3516.84 0.0
3516.89 0.0
3516.94 0.0
3516.99 0.0
3517.04 0.0
3517.09 0.0
3517.14 0.0
3517.19 0.0
3517.24 0.0
3517.29 0.0
3517.34 0.0
3517.39 0.0
3517.44 0.0
3517.49 0.0
3517.54 0.0
3517.59 0.0
3517.64 0.0
3517.69 0.0
3517.74 0.0
3517.79 0.0
3517.84 0.0
3517.89 0.0
3517.94 0.0
3517.99 0.0
3518.04 0.0
3518.09 0.0
3518.14 0.0
3518.19 0.0
3518.24 0.0
3518.29 0.0
3518.34 0.0
3518.39 0.0
3518.44 0.0
3518.49 0.0
3518.54 0.0
3518.59 0.0
3518.64 0.0
3518.69 0.0
3518.74 0.0
3518.79 0.0
3518.84 0.0
3518.89 0.0
3518.94 0.0
3518.99 0.0
3519.04 0.0
3519.09 0.0
3519.14 0.0
3519.19 0.0
3519.24 0.0
3519.29 0.0
3519.34 0.0
3519.39 0.0
3519.44 0.0
3519.49 0.0
3519.54 0.0
3519.59 0.0
3519.64 0.0
3519.69 0.0
3519.74 0.0
3519.79 0.0
3519.84 0.0
3519.89 0.0
3519.94 0.0
3519.99 0.0
3520.04 0.0
3520.09 0.0
3520.14 0.0
3520.19 0.0
3520.24 0.0
3520.29 0.0
3520.34 0.0
3520.39 0.0
3520.44 0.0
3520.49 0.0
3520.54 0.0
3520.59 0.0
3520.64 0.0
3520.69 0.0
3520.74 0.0
3520.79 0.0
3520.84 0.0
3520.89 0.0
3520.94 0.0
3520.99 0.0
3521.04 0.0
3521.09 0.0
3521.14 0.0
3521.19 0.0
3521.24 0.0
3521.29 0.0
3521.34 0.0
3521.39 0.0
3521.44 0.0
3521.49 0.0
3521.54 0.0
3521.59 0.0
3521.64 0.0
3521.69 0.0
3521.74 0.0
3521.79 0.0
3521.84 0.0
3521.89 0.0
3521.94 0.0
3521.99 0.0
3522.04 0.0
3522.09 0.0
3522.14 0.0
3522.19 0.0
3522.24 0.0
3522.29 0.0
3522.34 0.0
3522.39 0.0
3522.44 0.0
3522.49 0.0
3522.54 0.0
3522.59 0.0
3522.64 0.0
